id,name,artist,popularity,duration_ms,year
5By7Pzgl6TMuVJG168VWzS,Michelle - Remastered 2009,The Beatles,68,162373,1965.0
2kSb3wYSOV996xA2NSmpck,Melting,Kali Uchis,82,208853,2015.0
1xYBeQ5u8uaJ3oBWktjGyJ,Acurrucar,Ed Maverick,71,234080,2018.0
05HpBFLrHBjWpgV0DSPUAv,Tiroteo,Marc Seguí,66,266290,2021.0
2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,79,206710,2021.0
6O9fqAOalTCsizK6TAC7pq,El Dinosaurio Anacleto - Dinosaurio Roberto,31 Minutos,0,145120,2004.0
5JiRNiFW0qVuN3TkbpRnyJ,Mi Mamá Me Lo Teje Todo - Lino y Lana,31 Minutos,0,238679,2015.0
760r2LXNtMaHDKMQ5wkXbi,Cien años,Pedro Infante,66,212706,1998.0
4bLEdN7hL33Qv4fCz5VLMG,Cosas para Decirte,Conociendo Rusia,48,340920,2019.0
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,85,209831,2017.0
75ZohPJVqJOD8GUCZH94mk,siempreestoypati,Ed Maverick,64,206333,2019.0
1DH0Cg447H2wioWGvW4S3z,Quisiera,"Daniel, Me Estás Matando",53,293098,2019.0
2Z5qzfzgUPLKGZXtGbzNEq,Amorcito Corazón - Remasterizado,Los Panchos,33,166933,1948.0
7urpqJEBwPvIvd3xKUARED,"Mi Amante Niña, Mi Compañera",Leonardo Favio,0,183933,1995.0
2RGk67GArzQcQa3AWSulJb,Departamento,Bandalos Chinos,0,234466,2019.0
7Li9u5C7CNLvqOqhrhZEML,Dulcito e Coco,Vicente Garcia,63,189066,2016.0
6VZg3YsN5kKBwz39fPcIM1,Amor de Siempre,Cuco,0,321951,2016.0
2TzkIzgzIHhewMxyh1u4hh,Vámonos a Marte,Kevin Kaarl,76,179094,2019.0
4zFPUEMucYleIIUnYVoeZf,Si Nos Dejan,"Daniel, Me Estás Matando",46,152000,2020.0
2BWao7MNRld2ucMxswvxaU,¿Qué Se Siente Que Me Gustes Tanto?,"Daniel, Me Estás Matando",65,184970,2019.0
1RQkKTyJZhFERJy6t5gIbv,Si Supieras,Kevin Kaarl,70,251433,2019.0
23lcRsgi0OWWUaUmpHctS8,Delirio,Carmen Delia Dipini,41,190760,1956.0
1PVTvvxpSkyJWemW1CwVVk,Fly Me To The Moon,Frank Sinatra,57,148866,1965.0
0vZNXXTpPjLdl1KbdLmJRg,Ojos Verdes,Alfredo Gutierrez,0,195373,2007.0
